OrganismID,Category,Phylum,Class,Order,Family,Species
1,Aquatic Non-Insects,Annelida,Hirudinea,Rhynchobdellida,Glossiphoniidae,
2,Aquatic Non-Insects,Annelida,Oligochaeta,Haplotaxida,Enchytraeidae,
3,Aquatic Non-Insects,Annelida,Oligochaeta,Haplotaxida,Lumbricidae,
4,Aquatic Non-Insects,Annelida,Oligochaeta,Haplotaxida,Naididae,
5,Aquatic Non-Insects,Annelida,Oligochaeta,Haplotaxida,Tubificidae,
6,Aquatic Non-Insects,Annelida,Oligochaeta,Haplotaxida,Sparganophilidae,
7,Aquatic Non-Insects,Annelida,Polychaeta,Aciculata,Nereidae,
8,Aquatic Non-Insects,Annelida,Polychaeta,Canalipalpata,Sabellidae,
9,Aquatic Non-Insects,Arthropoda,Malacostraca,Amphipoda,Corophiidae,
10,Aquatic Non-Insects,Arthropoda,Malacostraca,Amphipoda,Crangonyctidae,
11,Aquatic Non-Insects,Arthropoda,Malacostraca,Amphipoda,Gammaridae,
12,Aquatic Non-Insects,Arthropoda,Malacostraca,Amphipoda,Taltridae,
13,Aquatic Non-Insects,Arthropoda,Malacostraca,Mysidacea,Mysidae,
14,Aquatic Non-Insects,Arthropoda,Crustacea,Ostracoda,Cypridae,
15,Aquatic Non-Insects,Arthropoda,Malacostraca,Amphipoda,Hyalellidae,
16,Aquatic Non-Insects,Arthropoda,Malacostraca,Decapoda,Astacidae,
17,Aquatic Non-Insects,Chordata,Actinopterygii,Cyprinodontiformes,Poeciliidae,Gambusia affinis
18,Aquatic Non-Insects,Cnidaria,Hydrozoa,Anthoathecata,Hydridae,
19,Aquatic Non-Insects,Mollusca,Bivalvia,Veneroida,Corbiculidae,
20,Aquatic Non-Insects,Mollusca,Gastropoda,Basommatophora,Physidae,
21,Aquatic Non-Insects,Mollusca,Gastropoda,Basommatophora,Planorbidae,
22,Aquatic Non-Insects,Mollusca,Gastropoda,Basommatophora,Ancylidae,
23,Aquatic Non-Insects,Nematoda,Adenophorea,Dorylaimida,Dorylaimidae,
24,Aquatic Non-Insects,Nematoda,Adenophorea,Mermithida,Mermithidae,
25,Aquatic Non-Insects,Nemertea,Enopla,Hoplonemertea,Tetrastemmatidae,
26,Aquatic Non-Insects,Platyhelminthes,Turbellaria,Tricladida,Planariidae,
27,Aquatic Non-Insects,Arthropoda,Arachnida,Hydrachnida,Eylaidae,
28,Aquatic Non-Insects,Arthropoda,Arachnida,Hydrachnida,Lebertiidae,
29,Aquatic Non-Insects,Arthropoda,Arachnida,Hydrachnida,Sperchontidae,
30,Aquatic Insects,Arthropoda,Insecta,Coleoptera,Dytiscidae,
31,Aquatic Insects,Arthropoda,Insecta,Coleoptera,Helophoridae,
32,Aquatic Insects,Arthropoda,Insecta,Diptera,Ceratopogonidae,
33,Aquatic Insects,Arthropoda,Insecta,Diptera,Chaoboridae,
34,Aquatic Insects,Arthropoda,Insecta,Diptera,Chironomidae,
35,Aquatic Insects,Arthropoda,Insecta,Diptera,Empididae,
36,Aquatic Insects,Arthropoda,Insecta,Diptera,Ephydridae,
37,Aquatic Insects,Arthropoda,Insecta,Diptera,Psychodidae,
38,Aquatic Insects,Arthropoda,Insecta,Diptera,Simuliidae,
39,Aquatic Insects,Arthropoda,Insecta,Diptera,Tipulidae,
40,Aquatic Insects,Arthropoda,Insecta,Ephemeroptera,Caenidae,
41,Aquatic Insects,Arthropoda,Insecta,Ephemeroptera,Baetidae,
42,Aquatic Insects,Arthropoda,Insecta,Ephemeroptera,Ephemerellidae,
43,Aquatic Insects,Arthropoda,Insecta,Ephemeroptera,Heptageniidae,
44,Aquatic Insects,Arthropoda,Insecta,Hemiptera,Corixidae,
45,Aquatic Insects,Arthropoda,Insecta,Hemiptera,Notonectidae,
46,Aquatic Insects,Arthropoda,Insecta,Odonata,Coenagrionidae,
47,Aquatic Insects,Arthropoda,Insecta,Odonata,Libellulidae,
48,Aquatic Insects,Arthropoda,Insecta,Trichoptera,Hydropsychidae,
49,Aquatic Insects,Arthropoda,Insecta,Diptera,Culicidae,
50,Aquatic Insects,Arthropoda,Insecta,Diptera,Dixidae,
51,Aquatic Insects,Arthropoda,Insecta,Coleoptera,Gyrinidae,
52,Aquatic Insects,Arthropoda,Insecta,Coleoptera,Hydraenidae,
53,Aquatic Insects,Arthropoda,Insecta,Coleoptera,Melyridae,
54,Aquatic Insects,Arthropoda,Insecta,Diptera,Sciomyzidae,
55,Aquatic Insects,Arthropoda,Insecta,Coleoptera,Staphylinidae,
56,Aquatic Insects,Arthropoda,Insecta,Trichoptera,Leptoceridae,
57,Terrestrial Non-Insects,Arthropoda,Arachnida,Acari,,
58,Terrestrial Non-Insects,Arthropoda,Arachnida,Araneida,,
59,Terrestrial Non-Insects,Arthropoda,Chilopoda,Geophilomorpha,,
60,Terrestrial Non-Insects,Arthropoda,Chilopoda,Lithobiomorpha,,
61,Terrestrial Non-Insects,Arthropoda,Malacostraca,Isopoda,,
62,Terrestrial Non-Insects,Arthropoda,Diplopoda,Julida,,
63,Terrestrial Insects,Arthropoda,Insecta,Coleoptera,,
64,Terrestrial Insects,Arthropoda,Insecta,Diptera,,
65,Terrestrial Insects,Arthropoda,Insecta,Homoptera,,
66,Terrestrial Insects,Arthropoda,Insecta,Hymenoptera,,
67,Terrestrial Insects,Arthropoda,Insecta,Psocoptera,,
68,Terrestrial Non-Insects,Arthropoda,Entognatha,Collembola,,
69,Terrestrial Insects,Arthropoda,Insecta,Dermaptera,,
70,Terrestrial Non-Insects,Arthropoda,Arachnida,Araneae,Diplura,
71,Terrestrial Insects,Arthropoda,Insecta,Hemiptera,,
72,Terrestrial Insects,Arthropoda,Insecta,Isoptera,,
73,Terrestrial Insects,Arthropoda,Insecta,Lepidoptera,,
74,Terrestrial Insects,Arthropoda,Insecta,Neuroptera,,
75,Terrestrial Non-Insects,Arthropoda,Arachnida,Phalangida,,
76,Aquatic Insects,Arthropoda,Insecta,Ephemeroptera,Ephemeridae,
77,Aquatic Non-Insects,Arthropoda,Arachnida,Trombidiformes,Hygrobatidae,
78,Aquatic Insects,Arthropoda,Insecta,Ephemeroptera,Tricorythidae,
79,Aquatic Non-Insects,Chordata,,Fish,Fish,
80,Aquatic Insects,Arthropoda,Insecta,Coleoptera,Haliplidae,
81,Aquatic Insects,Arthropoda,Insecta,Coleoptera,Hydrophilidae,
82,Aquatic Insects,Arthropoda,Insecta,Diptera,Tabanidae,
83,Aquatic Insects,Arthropoda,Insecta,Trichoptera,Psychomyiidae,
84,Terrestrial Insects,Arthropoda,Insecta,Thysanura,,
85,Terrestrial Insects,Arthropoda,Insecta,Thysanoptera,,
86,Aquatic Non-Insects,Arthropoda,Malacostraca,Isopoda,Asellidae,
87,Aquatic Non-Insects,Arthropoda,Malacostraca,Decapoda,Crangonidae,
88,Aquatic Insects,Arthropoda,Insecta,Trichoptera,Hydroptilidae,
89,Aquatic Non-Insects,Annelida,Clitellata,Branchiobdellida,Branchiobdellidae,
90,Aquatic Non-Insects,Annelida,Oligochaeta,Haplotaxida,Glossoscolecidae,
91,Aquatic Non-Insects,Annelida,Hirudinea,Arhynchobdellida,Erpobdellidae,
92,Aquatic Insects,Arthropoda,Insecta,Odonata,Aeshnidae,
93,Aquatic Insects,Arthropoda,Insecta,Plecoptera,Capniidae,
94,Aquatic Non-Insects,Arthropoda,Arachnida,Hydrachnida,Unionicolidae,
95,Aquatic Insects,Arthropoda,Insecta,Hemiptera,Veliidae,
96,Aquatic Insects,Arthropoda,Insecta,Diptera,Muscidae,
97,Aquatic Insects,Arthropoda,Insecta,Diptera,Stratiomyidae,
98,Aquatic Non-Insects,Arthropoda,Crustacea,Ostracoda,Candonidae,
99,Terrestrial Non-Insects,Arthropoda,Chilopoda,Geophilomorpha,,
100,Terrestrial Non-Insects,Arthropoda,Chilopoda,Other Chilopoda,,
101,Aquatic Insects,Arthropoda,Insecta,Coleoptera,Carabidae,
102,Aquatic Insects,Arthropoda,Insecta,Odonata,Gomphidae,
103,Aquatic Non-Insects,Arthropoda,Arachnida,Trombidiformes,Arrenuridae,
104,Aquatic Non-Insects,Arthropoda,Malacostraca,Decapoda,Palaemonidae,
105,Terrestrial Insects,Arthropoda,Insecta,Ephemeroptera,,
106,Aquatic Non-Insects,Mollusca,Gastropoda,Basommatophora,Lymnaeidae,
107,Aquatic Insects,Arthropoda,Insecta,Ephemeroptera,Leptohyphidae,
108,Terrestrial Insects,Arthropoda,Insecta,Orthoptera,,
109,Aquatic Insects,Arthropoda,Insecta,Diptera,Syrphidae,
110,Aquatic Insects,Arthropoda,Insecta,Ephemeroptera,Pseudironidae,
111,Aquatic Insects,Arthropoda,Insecta,Hemiptera,Belostomatidae,
113,Terrestrial Non-Insects,Arthropoda,Arachnida,Other Arachnida,,
114,Aquatic Insects,Arthropoda,Insecta,Trichoptera,Glossosomatidae,
115,Aquatic Insects,Arthropoda,Insecta,Lepidoptera,Pyralidae,
116,Aquatic Insects,Arthropoda,Insecta,Coleoptera,Dryopidae,
117,Aquatic Insects,Arthropoda,Insecta,Coleoptera,Elmidae,
118,Aquatic Non-Insects,Arthropoda,Crustacea,Ostracoda,Other Ostracoda,
119,Aquatic Non-Insects,Arthropoda,Arachnida,Trombidiformes,Limnesiidae,
120,Aquatic Non-Insects,Arthropoda,Arachnida,Trombidiformes,Lebertiidae,
121,Aquatic Insects,Arthropoda,Insecta,Coleoptera,Ptilodactylidae,
122,Aquatic Insects,Arthropoda,Insecta,Plecoptera,Perlodidae,
123,Aquatic Non-Insects,Arthropoda,Arachnida,Acari,Pionidae,
124,Aquatic Non-Insects,Bryozoa,,Bryozoa,Ectoprocta,
125,Aquatic Non-Insects,Arthropoda,Arachnida,Oribatei,Other Oribatei,
126,Terrestrial Non-Insects,Mollusca,Gastropoda,Other Gastropoda,,
127,Aquatic Non-Insects,Mollusca,Gastropoda,Neotaenioglossa,Hydrobiidae,
128,Aquatic Non-Insects,Arthropoda,Arachnida,Trombidiformes,Mideopsidae,
129,Terrestrial Insects,Arthropoda,Insecta,Archaeognatha,,
130,Aquatic Non-Insects,Nematoda,,Other Nematoda,Other Nematoda,
131,Aquatic Non-Insects,Annelida,Hirudinea,Other Hirudinea,Other Hirudinea,
132,Terrestrial Insects,Arthropoda,Insecta,Archaeognatha,,
133,Aquatic Non-Insects,Arthropoda,Crustacea,Amphipoda,Other Amphipoda,
134,Aquatic Non-Insects,Mollusca,Bivalvia,Veneroida,Corbiculoidea,
135,Terrestrial Insects,Arthropoda,Insecta,Neuroptera,Sisyridae,
136,Aquatic Non-Insects,Arthropoda,Arachnida,Acari,Other Acari,
137,Aquatic-Non-Insects,Arthropoda,Malacostraca,Amphipoda,Corophiidae,
139,Aquatic Non-Insects,Mollusca,Gastropoda,Other Gastropoda,Other Gastropoda,
140,Aquatic Non-Insects,Arthropoda,Crustacea,Decapoda,Other Decapoda,
141,Aquatic Insects,Arthropoda,Insecta,Plecoptera,Taeniopterygidae,
142,Aquatic Non-Insects,Mollusca,Bivalvia,Veneroida,Sphaeriidae,
143,Terrestrial Non-Insects,Arthropoda,Arachnida,Opiliones,,
144,Aquatic Insects,Arthropoda,Insecta,Ephemeroptera,Other Ephemeroptera,
145,Aquatic Non-Insects,Chordata,Actinopterygii,Cypriniformes,Catostomidae,
146,Aquatic Non-Insects,Arthropoda,Arachnida,Acari,Sperchontidae,
148,Aquatic Non-Insects,Chordata,Actinopterygii,Scorpaeniformes,Cottidae,
149,Aquatic Non-Insects,Chordata,Actinopterygii,Clupeiformes,Clupeidae,
150,Aquatic Non-Insects,Chordata,Actinopterygii,Perciformes,Gobiidae,
151,Aquatic Insects,Arthropoda,Insecta,Neuroptera,Sisyridae,
152,Aquatic Non-Insects,Platyhelminthes,Turbellaria,Other Turbellaria,Other Turbellaria,
153,Aquatic Non-Insects,Arthropoda,Branchiopoda,Cladocera,Daphniidae,
154,Aquatic Non-Insects,Arthropoda,Maxillopoda,Cyclopoida,Other Cyclopoida,
155,Aquatic Non-Insects,Arthropoda,Arachnida,Acari,Oribatei,
157,Terrestrial Non-Insects,Arthropoda,Arachnida,Araneae,,
158,Aquatic Non-Insects,Arthropoda,Branchiopoda,Cladocera,Chydoridae,
159,Aquatic Insects,Arthropoda,Insecta,Trichoptera,Other Trichoptera,
161,Terrestrial Non-Insects,Mollusca,Gastropoda,Stylommatophora,,
162,Aquatic Non-Insects,Chordata,Actinopterygii,Other Actinopterygii,Other Actinopterygii,
163,Aquatic Non-Insects,Chordata,Actinopterygii,Atheriniformes,Atherinidae,
164,Aquatic Non-Insects,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,
165,Aquatic Non-Insects,Chordata,Actinopterygii,Perciformes,Moronidae,Morone sp.
166,Aquatic Insects,Arthropoda,Insecta,Hemiptera,Naucoridae,
167,Aquatic Non-Insects,Arthropoda,Branchiopoda,Cladocera,Sididae,
168,Aquatic Non-Insects,Arthropoda,Maxillopoda,Calanoida,Other Calanoida,
169,Aquatic Non-Insects,Arthropoda,Branchiopoda,Cladocera,Other Cladocera,
170,Aquatic Non-Insects,Chordata,Actinopterygii,Cyprinodontiformes,Cyprinodontidae,
171,Terrestrial Non-Insects,Arthropoda,Diplopoda,Other Diplopoda,,
172,Aquatic Non-Insects,Mollusca,Gastropoda,Heterostropha,Murchisonellidae,
173,Terrestrial Non-Insects,Mollusca,Gastropoda,Basommatophora,,
174,Aquatic Non-Insects,Mollusca,Gastropoda,Heterobranchia,Other Heterobranchia,
175,Aquatic Non-Insects,Chordata,Actinopterygii,Atheriniformes,Atherinopsidae,
176,Aquatic Non-Insects,Arthropoda,Malacostraca,Tanaidacea,Other Tanaidacea,
177,Aquatic Non-Insects,Arthropoda,Maxillopoda,Copepoda,Other Copepoda,
178,Terrestrial Insects,Arthropoda,Insecta,Blattodea,,
179,Terrestrial Non-Insects,Arthropoda,Arachnida,Pseudoscorpiones,,
180,Aquatic Non-Insects,Chordata,Actinopterygii,Perciformes,Percidae,
182,Aquatic Non-Insects,Chordata,Actinopterygii,Siluriformes,Ictaluridae,
183,Aquatic Non-Insects,Arthropoda,Branchiopoda,Cladocera,Bosminidae,
184,Aquatic Non-Insects,Annelida,Oligochaeta,Other Oligochaeta,Other Oligochaeta,
185,Aquatic Insects,Arthropoda,Insecta,Diptera,Dolichopodidae,
186,Terrestrial Insects,Arthropoda,Insecta,Embioptera,,
187,Aquatic Non-Insects,Arthropoda,Malacostraca,Tanaidacea,Tanaidae,
188,Aquatic Non-Insects,NoCatch,NoCatch,NoCatch,NoCatch,
189,Aquatic Insects,NoCatch,NoCatch,NoCatch,NoCatch,
190,Terrestrial Insects,NoCatch,NoCatch,NoCatch,,
191,Terrestrial Non-Insects,NoCatch,NoCatch,NoCatch,,
192,Terrestrial Insects,Arthropoda,Insecta,Diptera,Sciaridae,
193,Terrestrial Insects,Arthropoda,Insecta,Hemiptera,Sternorrhyncha,
194,Terrestrial Insects,Arthropoda,Insecta,Hymenoptera,Formicidae,
195,Terrestrial Insects,Arthropoda,Insecta,Diptera,Acalyptratae,
